,Security,Description,Category,Subcategory
,GTJPY10Y Govt,Generic Japan 10 Year Government Bond,Fixed Income,Government Bonds
,GTJPYII10Y Govt,Generic Japan 10 Year Government Inflation Indexed Bond,Fixed Income,Government Bonds
,GTJPY7Y Govt,Generic Japan 7 Year Government Bond,Fixed Income,Government Bonds
,GTJPY3Y Govt,Generic Japan 3 Year Government Bond,Fixed Income,Government Bonds
,GTJPY8Y Govt,Generic Japan 8 Year Government Bond,Fixed Income,Government Bonds
,GTJPY9Y Govt,Generic Japan 9 Year Government Bond,Fixed Income,Government Bonds
,GTJPY6Y Govt,Generic Japan 6 Year Government Bond,Fixed Income,Government Bonds
,GTJPY4Y Govt,Generic Japan 4 Year Government Bond,Fixed Income,Government Bonds
,GTJPYII6Y Govt,Generic Japan 6 Year Government Inflation Indexed Bond,Fixed Income,Government Bonds
,GTJPYII5Y Govt,Generic Japan 5 Year Government Inflation Indexed Bond,Fixed Income,Government Bonds
,GTJPYII8Y Govt,Generic Japan 8 Year Government Inflation Indexed Bond,Fixed Income,Government Bonds
,GTJPYII9Y Govt,Generic Japan 9 Year Government Inflation Indexed Bond,Fixed Income,Government Bonds
,GTJPYII7Y Govt,Generic Japan 7 Year Government Inflation Indexed Bond,Fixed Income,Government Bonds
